                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.9131,                 2.0518,                 1.4969,                0.72085,                0.82067,                0.87064,                0.48993,                 1.4127,                 1.3598,                 1.0717,               0.070698,              0.0032558,              0.0032558
                      1,                 1.5491,                 1.0806,                 1.1905,                0.86114,                0.87834,                0.91109,                0.51966,                 1.3629,                0.81526,                 1.0521,               0.040632,              0.0065239,              0.0065239
                      2,                   1.53,                0.99311,                 1.1577,                 0.8169,                0.90543,                0.92696,                0.47711,                 1.6462,                 1.1629,                 1.0935,               0.010501,               0.009726,               0.009726
                      3,                 1.4939,                 0.9586,                 1.1392,                0.87386,                 0.9221,                0.91721,                 0.5003,                 1.5017,                 1.0075,                 1.0677,               0.009703,               0.009703,               0.009703
                      4,                  1.485,                0.86049,                 1.1386,                0.87361,                0.92431,                0.93571,                0.49823,                 1.6014,                0.76839,                 1.0981,               0.009703,               0.009703,               0.009703
                      5,                 1.4869,                0.81975,                  1.133,                0.88408,                0.93181,                0.92783,                0.54065,                 1.3479,                0.81074,                 1.0382,               0.009604,               0.009604,               0.009604
                      6,                 1.4478,                0.77241,                  1.122,                0.87115,                0.93808,                0.93691,                0.53437,                 1.3844,                0.79774,                 1.0405,               0.009505,               0.009505,               0.009505
                      7,                 1.4556,                0.77218,                  1.128,                 0.9028,                0.93291,                 0.9558,                0.57314,                  1.344,                0.75398,                 1.0457,               0.009406,               0.009406,               0.009406
                      8,                 1.4184,                0.75355,                 1.1178,                 0.8788,                 0.9482,                0.96136,                0.54279,                 1.4326,                 0.7529,                 1.0556,               0.009307,               0.009307,               0.009307
                      9,                 1.4099,                0.73731,                 1.1117,                0.88038,                0.94634,                0.95288,                 0.5739,                  1.321,                0.70324,                 1.0283,               0.009208,               0.009208,               0.009208
                     10,                 1.4099,                0.72771,                  1.106,                 0.9143,                0.92329,                0.95506,                0.54113,                 1.5196,                0.72303,                 1.0742,               0.009109,               0.009109,               0.009109
                     11,                 1.3988,                0.71068,                 1.1055,                0.89265,                0.94422,                0.95444,                0.57897,                 1.3246,                0.68998,                 1.0402,                0.00901,                0.00901,                0.00901
                     12,                 1.3761,                 0.7152,                 1.1004,                0.88128,                0.94011,                0.94567,                0.58017,                 1.2921,                 0.6979,                 1.0374,               0.008911,               0.008911,               0.008911
                     13,                 1.3755,                0.71165,                 1.1011,                0.90013,                0.94715,                0.96044,                0.56353,                 1.4058,                0.70706,                 1.0576,               0.008812,               0.008812,               0.008812
                     14,                 1.3518,                0.69762,                 1.0886,                0.90776,                0.93324,                0.96167,                0.56608,                 1.3898,                0.69916,                 1.0511,               0.008713,               0.008713,               0.008713
                     15,                 1.3551,                 0.6911,                 1.0924,                0.88334,                0.95057,                0.95843,                 0.5698,                 1.4101,                 0.7006,                 1.0604,               0.008614,               0.008614,               0.008614
                     16,                 1.3339,                0.67482,                 1.0855,                0.88847,                 0.9381,                0.95531,                0.50801,                 1.6045,                0.74811,                 1.1099,               0.008515,               0.008515,               0.008515
                     17,                 1.3295,                 0.6601,                 1.0849,                0.90463,                 0.9399,                0.95423,                0.59949,                 1.2618,                0.65076,                 1.0247,               0.008416,               0.008416,               0.008416
